card_name,rarity,market_price,date
Umbreon ex,Special Illustration Rare,0.9142068240089408,2026-08-01
Sylveon ex,Special Illustration Rare,0.6175793833410032,2026-08-01
Espeon ex,Special Illustration Rare,0.45348760765235685,2026-08-01
Leafeon ex,Ultra Rare,0.11583722306225758,2026-08-01
Eevee,Common,0.0006574189731115638,2026-08-01
Dreepy,Common,0.0,2026-08-01
Buddy-Buddy Poffin,Uncommon,0.001314837946223128,2026-08-01
Area Zero Underdepths,Uncommon,0.0015778055354677533,2026-08-01
Umbreon ex,Special Illustration Rare,0.9237393991190587,2026-08-02
Sylveon ex,Special Illustration Rare,0.6240220892774965,2026-08-02
Espeon ex,Special Illustration Rare,0.4582210242587601,2026-08-02
Leafeon ex,Ultra Rare,0.11708631911116953,2026-08-02
Eevee,Common,0.0006574189731115638,2026-08-02
Dreepy,Common,6.574189731115627e-05,2026-08-02
Buddy-Buddy Poffin,Uncommon,0.001314837946223128,2026-08-02
Area Zero Underdepths,Uncommon,0.00164354743277891,2026-08-02
Umbreon ex,Special Illustration Rare,0.9332719742291762,2026-08-03
Sylveon ex,Special Illustration Rare,0.6304647952139899,2026-08-03
Espeon ex,Special Illustration Rare,0.46295444086516335,2026-08-03
Leafeon ex,Ultra Rare,0.11826967326277034,2026-08-03
Eevee,Common,0.0006574189731115638,2026-08-03
Dreepy,Common,6.574189731115627e-05,2026-08-03
Buddy-Buddy Poffin,Uncommon,0.001314837946223128,2026-08-03
Area Zero Underdepths,Uncommon,0.00164354743277891,2026-08-03
Umbreon ex,Special Illustration Rare,0.942804549339294,2026-08-04
Sylveon ex,Special Illustration Rare,0.6369075011504831,2026-08-04
Espeon ex,Special Illustration Rare,0.4676878574715666,2026-08-04
Leafeon ex,Ultra Rare,0.11951876931168232,2026-08-04
Eevee,Common,0.0007231608704227203,2026-08-04
Dreepy,Common,6.574189731115627e-05,2026-08-04
Buddy-Buddy Poffin,Uncommon,0.0013805798435342841,2026-08-04
Area Zero Underdepths,Uncommon,0.0017092893300900663,2026-08-04
Umbreon ex,Special Illustration Rare,0.9523371244494117,2026-08-05
Sylveon ex,Special Illustration Rare,0.6433502070869764,2026-08-05
Espeon ex,Special Illustration Rare,0.47242127407796985,2026-08-05
Leafeon ex,Ultra Rare,0.12070212346328314,2026-08-05
Eevee,Common,0.0007231608704227203,2026-08-05
Dreepy,Common,6.574189731115627e-05,2026-08-05
Buddy-Buddy Poffin,Uncommon,0.0013805798435342841,2026-08-05
Area Zero Underdepths,Uncommon,0.0017092893300900663,2026-08-05
Umbreon ex,Special Illustration Rare,0.9618696995595292,2026-08-06
Sylveon ex,Special Illustration Rare,0.6497929130234699,2026-08-06
Espeon ex,Special Illustration Rare,0.4771546906843731,2026-08-06
Leafeon ex,Ultra Rare,0.12188547761488396,2026-08-06
Eevee,Common,0.0007231608704227203,2026-08-06
Dreepy,Common,6.574189731115627e-05,2026-08-06
Buddy-Buddy Poffin,Uncommon,0.0013805798435342841,2026-08-06
Area Zero Underdepths,Uncommon,0.0017092893300900663,2026-08-06
Umbreon ex,Special Illustration Rare,0.971402274669647,2026-08-07
Sylveon ex,Special Illustration Rare,0.6562356189599631,2026-08-07
Espeon ex,Special Illustration Rare,0.48188810729077636,2026-08-07
Leafeon ex,Ultra Rare,0.12313457366379593,2026-08-07
Eevee,Common,0.0007889027677338767,2026-08-07
Dreepy,Common,6.574189731115627e-05,2026-08-07
Buddy-Buddy Poffin,Uncommon,0.0014463217408454405,2026-08-07
Area Zero Underdepths,Uncommon,0.0017750312274012225,2026-08-07
Umbreon ex,Special Illustration Rare,0.9809348497797646,2026-08-08
Sylveon ex,Special Illustration Rare,0.6626783248964564,2026-08-08
Espeon ex,Special Illustration Rare,0.4866215238971796,2026-08-08
Leafeon ex,Ultra Rare,0.12431792781539674,2026-08-08
Eevee,Common,0.0007889027677338767,2026-08-08
Dreepy,Common,6.574189731115627e-05,2026-08-08
Buddy-Buddy Poffin,Uncommon,0.0014463217408454405,2026-08-08
Area Zero Underdepths,Uncommon,0.0017750312274012225,2026-08-08
Umbreon ex,Special Illustration Rare,0.9904674248898824,2026-08-09
Sylveon ex,Special Illustration Rare,0.6691210308329498,2026-08-09
Espeon ex,Special Illustration Rare,0.49135494050358286,2026-08-09
Leafeon ex,Ultra Rare,0.1255670238643087,2026-08-09
Eevee,Common,0.0007889027677338767,2026-08-09
Dreepy,Common,0.00013148379462231272,2026-08-09
Buddy-Buddy Poffin,Uncommon,0.0014463217408454405,2026-08-09
Area Zero Underdepths,Uncommon,0.0018407731247123789,2026-08-09
Umbreon ex,Special Illustration Rare,1.0,2026-08-10
Sylveon ex,Special Illustration Rare,0.6755637367694431,2026-08-10
Espeon ex,Special Illustration Rare,0.4960883571099861,2026-08-10
Leafeon ex,Ultra Rare,0.12681611991322067,2026-08-10
Eevee,Common,0.0007889027677338767,2026-08-10
Dreepy,Common,0.00013148379462231272,2026-08-10
Buddy-Buddy Poffin,Uncommon,0.001512063638156597,2026-08-10
Area Zero Underdepths,Uncommon,0.0018407731247123789,2026-08-10
