productId,lowPrice,midPrice,highPrice,market_price,directLowPrice,subTypeName,card_name,pulled_at
593294,13.99,15.99,124.8,15.07,,Normal,Prismatic Evolutions Booster Pack,2026-08-17 05:05:41.093520
593324,456.49,559.99,9999.0,456.54,,Normal,Prismatic Evolutions Pokemon Center Elite Trainer Box (Exclusive),2026-08-17 05:05:41.093520
593355,158.0,199.99,1719.5,169.57,,Normal,Prismatic Evolutions Elite Trainer Box,2026-08-17 05:05:41.093520
593356,104.88,119.98,1199.99,112.91,,Normal,Prismatic Evolutions Binder Collection,2026-08-17 05:05:41.093520
593359,37.5,45.0,499.99,40.26,,Normal,Prismatic Evolutions Poster Collection,2026-08-17 05:05:41.093520
593450,34.99,48.0,149.99,41.66,,Normal,Prismatic Evolutions Tech Sticker Collection [Sylveon],2026-08-17 05:05:41.093520
593451,39.95,48.97,149.99,42.82,,Normal,Prismatic Evolutions Tech Sticker Collection [Glaceon],2026-08-17 05:05:41.093520
593453,35.29,44.5,149.99,41.14,,Normal,Prismatic Evolutions Tech Sticker Collection [Leafeon],2026-08-17 05:05:41.093520
593455,33.99,43.95,100.0,38.27,,Normal,Prismatic Evolutions Mini Tin [Vaporeon],2026-08-17 05:05:41.093520
593456,31.99,35.5,100.0,34.15,,Normal,Prismatic Evolutions Mini Tin [Jolteon],2026-08-17 05:05:41.093520
593457,27.89,35.5,499.99,32.37,,Normal,Prismatic Evolutions Mini Tin [Flareon],2026-08-17 05:05:41.093520
593458,36.94,39.26,100.0,38.56,,Normal,Prismatic Evolutions Mini Tin [Espeon],2026-08-17 05:05:41.093520
593459,31.99,42.99,100.0,41.31,,Normal,Prismatic Evolutions Mini Tin [Umbreon],2026-08-17 05:05:41.093520
593460,33.95,37.99,50.0,34.7,,Normal,Prismatic Evolutions Mini Tin [Leafeon],2026-08-17 05:05:41.093520
593461,31.53,41.44,100.0,35.08,,Normal,Prismatic Evolutions Mini Tin [Glaceon],2026-08-17 05:05:41.093520
593462,39.99,41.99,75.0,40.82,,Normal,Prismatic Evolutions Mini Tin [Sylveon],2026-08-17 05:05:41.093520
593463,244.02,259.95,425.0,253.74,,Normal,Prismatic Evolutions Mini Tin Display,2026-08-17 05:05:41.093520
593466,54.97,75.0,5000.0,68.53,,Normal,Prismatic Evolutions Surprise Box,2026-08-17 05:05:41.093520
598470,435.0,515.58,800.0,404.72,,Normal,Prismatic Evolutions Surprise Box Case,2026-08-17 05:05:41.093520
598486,239.97,247.61,350.0,246.98,,Normal,Prismatic Evolutions Poster Collection Case,2026-08-17 05:05:41.093520
598487,1872.5,2349.67,4000.0,1886.58,,Normal,Prismatic Evolutions Elite Trainer Box Case,2026-08-17 05:05:41.093520
598488,1200.0,1200.0,1200.0,530.0,,Normal,Prismatic Evolutions  Binder Collection Case,2026-08-17 05:05:41.093520
598489,600.0,610.0,923.99,462.63,,Normal,Prismatic Evolutions Tech Sticker Collection Case,2026-08-17 05:05:41.093520
598490,120.0,139.99,900.0,126.18,,Normal,Prismatic Evolutions Tech Sticker Collection [Set of 3],2026-08-17 05:05:41.093520
600518,82.0,100.0,4999.99,86.39,,Normal,Prismatic Evolutions Booster Bundle,2026-08-17 05:05:41.093520
600697,2598.99,3500.0,20000.0,2680.77,,Normal,Prismatic Evolutions Pokemon Center Elite Trainer Box (Exclusive) Case,2026-08-17 05:05:41.093520
606881,50.45,88.1,1499.99,77.85,,Normal,Prismatic Evolutions Accessory Pouch Special Collection,2026-08-17 05:05:41.093520
609716,34.44,38.0,499.99,37.39,,Normal,Prismatic Evolutions 2-Pack Blister [Eevee],2026-08-17 05:05:41.093520
610317,1884.95,2049.95,3669.69,1715.21,,Normal,Prismatic Evolutions Booster Bundle Display,2026-08-17 05:05:41.093520
610356,0.01,0.15,999.0,0.07,0.01,Normal,Exeggcute,2026-08-17 05:05:41.093520
610356,0.01,0.19,999.0,0.12,0.01,Reverse Holofoil,Exeggcute,2026-08-17 05:05:41.093520
610357,0.01,0.15,999.0,0.04,0.01,Normal,Exeggutor,2026-08-17 05:05:41.093520
610357,0.03,0.22,999.0,0.22,0.1,Reverse Holofoil,Exeggutor,2026-08-17 05:05:41.093520
610358,0.01,0.18,999.0,0.1,0.01,Reverse Holofoil,Pinsir,2026-08-17 05:05:41.093520
610358,0.01,0.15,999.0,0.04,0.01,Normal,Pinsir,2026-08-17 05:05:41.093520
610359,0.01,0.28,999.0,0.28,0.26,Reverse Holofoil,Budew,2026-08-17 05:05:41.093520
610359,0.01,0.24,999.0,0.24,0.1,Normal,Budew,2026-08-17 05:05:41.093520
610360,0.01,0.44,999.0,0.47,0.4,Reverse Holofoil,Leafeon,2026-08-17 05:05:41.093520
610360,0.01,0.32,999.0,0.29,0.33,Holofoil,Leafeon,2026-08-17 05:05:41.093520
610361,3.0,4.86,999.0,4.91,19.9,Holofoil,Leafeon ex - 006/131,2026-08-17 05:05:41.093520
610362,0.01,0.15,999.0,0.07,0.01,Normal,Cottonee,2026-08-17 05:05:41.093520
610362,0.01,0.2,999.0,0.16,0.1,Reverse Holofoil,Cottonee,2026-08-17 05:05:41.093520
610363,0.01,0.17,999.0,0.09,0.01,Holofoil,Whimsicott,2026-08-17 05:05:41.093520
610363,0.02,0.21,999.0,0.2,0.1,Reverse Holofoil,Whimsicott,2026-08-17 05:05:41.093520
610364,0.01,0.15,999.0,0.08,0.01,Normal,Applin,2026-08-17 05:05:41.093520
610364,0.01,0.21,999.0,0.18,0.1,Reverse Holofoil,Applin,2026-08-17 05:05:41.093520
610365,0.03,0.25,999.0,0.25,0.24,Reverse Holofoil,Dipplin,2026-08-17 05:05:41.093520
610365,0.01,0.19,999.0,0.16,0.05,Normal,Dipplin,2026-08-17 05:05:41.093520
610366,0.4,1.0,999.0,0.92,,Holofoil,Hydrapple ex,2026-08-17 05:05:41.093520
610367,1.0,2.92,9992.22,2.13,3.17,Holofoil,Teal Mask Ogerpon ex - 012/131,2026-08-17 05:05:41.093520
610368,0.01,0.35,999.0,0.34,0.35,Holofoil,Flareon,2026-08-17 05:05:41.093520
610368,0.03,0.4,999.0,0.44,,Reverse Holofoil,Flareon,2026-08-17 05:05:41.093520
610369,3.22,5.35,999.0,4.49,6.34,Holofoil,Flareon ex - 014/131,2026-08-17 05:05:41.093520
610370,0.01,0.19,999.0,0.12,0.01,Reverse Holofoil,Litleo,2026-08-17 05:05:41.093520
610370,0.01,0.15,999.0,0.05,0.01,Normal,Litleo,2026-08-17 05:05:41.093520
610371,0.01,0.2,999.0,0.2,0.11,Reverse Holofoil,Pyroar,2026-08-17 05:05:41.093520
610371,0.01,0.15,999.0,0.06,0.01,Normal,Pyroar,2026-08-17 05:05:41.093520
610372,0.4,0.82,9999.0,0.58,0.65,Holofoil,Hearthflame Mask Ogerpon ex - 017/131,2026-08-17 05:05:41.093520
