productId,lowPrice,midPrice,highPrice,market_price,directLowPrice,subTypeName,card_name
593294,13.95,15.99,124.8,14.92,,Normal,Prismatic Evolutions Booster Pack
593324,453.36,550.0,9999.0,453.41,,Normal,Prismatic Evolutions Pokemon Center Elite Trainer Box (Exclusive)
593355,159.99,199.99,1719.5,166.49,,Normal,Prismatic Evolutions Elite Trainer Box
593356,104.88,119.92,1199.99,112.91,,Normal,Prismatic Evolutions Binder Collection
593359,37.5,45.0,499.99,41.48,,Normal,Prismatic Evolutions Poster Collection
593450,34.99,48.0,149.99,41.93,,Normal,Prismatic Evolutions Tech Sticker Collection [Sylveon]
593451,39.95,47.0,149.99,42.8,,Normal,Prismatic Evolutions Tech Sticker Collection [Glaceon]
593453,35.29,44.5,149.99,40.99,,Normal,Prismatic Evolutions Tech Sticker Collection [Leafeon]
593455,33.99,41.71,100.0,38.27,,Normal,Prismatic Evolutions Mini Tin [Vaporeon]
593456,31.99,35.5,100.0,34.15,,Normal,Prismatic Evolutions Mini Tin [Jolteon]
593457,27.89,35.5,499.99,32.37,,Normal,Prismatic Evolutions Mini Tin [Flareon]
593458,36.94,39.13,100.0,38.56,,Normal,Prismatic Evolutions Mini Tin [Espeon]
593459,31.99,42.99,100.0,41.31,,Normal,Prismatic Evolutions Mini Tin [Umbreon]
593460,33.95,37.99,50.0,34.7,,Normal,Prismatic Evolutions Mini Tin [Leafeon]
593461,31.53,39.99,100.0,35.71,,Normal,Prismatic Evolutions Mini Tin [Glaceon]
593462,39.99,44.0,75.0,40.14,,Normal,Prismatic Evolutions Mini Tin [Sylveon]
593463,238.95,257.72,425.0,253.74,,Normal,Prismatic Evolutions Mini Tin Display
593466,54.97,75.0,5000.0,68.28,,Normal,Prismatic Evolutions Surprise Box
598470,434.99,515.29,800.0,404.72,,Normal,Prismatic Evolutions Surprise Box Case
598486,230.0,249.99,350.0,248.29,,Normal,Prismatic Evolutions Poster Collection Case
598487,1849.98,2499.66,4000.0,1829.92,,Normal,Prismatic Evolutions Elite Trainer Box Case
598488,1200.0,1200.0,1200.0,530.0,,Normal,Prismatic Evolutions  Binder Collection Case
598489,600.0,604.99,923.99,462.63,,Normal,Prismatic Evolutions Tech Sticker Collection Case
598490,126.44,139.99,900.0,124.55,,Normal,Prismatic Evolutions Tech Sticker Collection [Set of 3]
600518,78.76,100.0,4999.99,89.92,,Normal,Prismatic Evolutions Booster Bundle
600697,2659.99,3849.89,20000.0,2681.42,,Normal,Prismatic Evolutions Pokemon Center Elite Trainer Box (Exclusive) Case
606881,50.45,88.1,1499.99,77.95,,Normal,Prismatic Evolutions Accessory Pouch Special Collection
609716,34.44,38.05,499.99,37.31,,Normal,Prismatic Evolutions 2-Pack Blister [Eevee]
610317,1799.99,2049.95,3669.69,1724.93,,Normal,Prismatic Evolutions Booster Bundle Display
610356,0.01,0.15,999.0,0.03,0.01,Normal,Exeggcute
610356,0.01,0.19,999.0,0.13,0.01,Reverse Holofoil,Exeggcute
610357,0.01,0.15,999.0,0.03,0.01,Normal,Exeggutor
610357,0.03,0.24,999.0,0.25,0.1,Reverse Holofoil,Exeggutor
610358,0.01,0.18,999.0,0.1,0.01,Reverse Holofoil,Pinsir
610358,0.01,0.15,999.0,0.04,0.01,Normal,Pinsir
610359,0.01,0.26,999.0,0.2,0.1,Reverse Holofoil,Budew
610359,0.01,0.25,999.0,0.25,0.1,Normal,Budew
610360,0.01,0.4,999.0,0.37,0.4,Reverse Holofoil,Leafeon
610360,0.01,0.33,999.0,0.33,0.38,Holofoil,Leafeon
610361,3.0,4.96,999.0,4.7,8.2,Holofoil,Leafeon ex - 006/131
610362,0.01,0.15,999.0,0.05,0.01,Normal,Cottonee
610362,0.01,0.2,999.0,0.15,0.1,Reverse Holofoil,Cottonee
610363,0.01,0.17,999.0,0.11,0.01,Holofoil,Whimsicott
610363,0.02,0.22,999.0,0.23,0.11,Reverse Holofoil,Whimsicott
610364,0.01,0.15,999.0,0.05,0.01,Normal,Applin
610364,0.01,0.2,999.0,0.2,0.1,Reverse Holofoil,Applin
610365,0.04,0.26,999.0,0.3,0.25,Reverse Holofoil,Dipplin
610365,0.01,0.19,999.0,0.15,0.1,Normal,Dipplin
610366,0.4,1.0,999.0,0.83,1.25,Holofoil,Hydrapple ex
610367,1.1,3.0,9992.22,2.75,3.57,Holofoil,Teal Mask Ogerpon ex - 012/131
610368,0.01,0.31,999.0,0.27,0.31,Holofoil,Flareon
610368,0.04,0.41,999.0,0.39,0.4,Reverse Holofoil,Flareon
610369,3.22,5.21,999.0,4.31,7.97,Holofoil,Flareon ex - 014/131
610370,0.01,0.19,999.0,0.11,0.01,Reverse Holofoil,Litleo
610370,0.01,0.15,999.0,0.04,0.01,Normal,Litleo
610371,0.01,0.2,999.0,0.2,0.1,Reverse Holofoil,Pyroar
610371,0.01,0.15,999.0,0.05,0.01,Normal,Pyroar
610372,0.4,0.85,9999.0,0.63,,Holofoil,Hearthflame Mask Ogerpon ex - 017/131
610373,0.01,0.22,999.0,0.2,0.1,Reverse Holofoil,Slowpoke
