card_name,rarity,market_price,date
Amarys - 132/131 | Holofoil,Ultra Rare,4.09,2025-01-17
Applin (Master Ball Pattern) | Holofoil,Common,9.99,2025-01-17
Applin (Poke Ball Pattern) | Holofoil,Common,3.58,2025-01-17
Archaludon (Master Ball Pattern) | Holofoil,Rare,20.0,2025-01-17
Area Zero Underdepths (Poke Ball Pattern) | Holofoil,Uncommon,4.44,2025-01-17
Atticus - 133/131 | Holofoil,Ultra Rare,5.53,2025-01-17
Atticus - 134/131 | Holofoil,Ultra Rare,3.11,2025-01-17
Binding Mochi (Poke Ball Pattern) | Holofoil,Uncommon,2.46,2025-01-17
Black Belt's Training - 096/131 (Poke Ball Pattern) | Holofoil,Common,3.63,2025-01-17
Black Belt's Training - 097/131 (Poke Ball Pattern) | Holofoil,Common,2.72,2025-01-17
Bloodmoon Ursaluna (Poke Ball Pattern) | Holofoil,Rare,3.88,2025-01-17
Bloodmoon Ursaluna ex | Holofoil,Special Illustration Rare,99.99,2025-01-17
Brassius | Holofoil,Ultra Rare,4.66,2025-01-17
Briar (Poke Ball Pattern) | Holofoil,Uncommon,4.71,2025-01-17
Buddy-Buddy Poffin (Poke Ball Pattern) | Holofoil,Uncommon,5.0,2025-01-17
Budew (Master Ball Pattern) | Holofoil,Common,42.0,2025-01-17
Budew (Poke Ball Pattern) | Holofoil,Common,19.53,2025-01-17
Budew | Normal,Common,2.54,2025-01-17
Budew | Reverse Holofoil,Common,4.8,2025-01-17
Carmine (Poke Ball Pattern) | Holofoil,Uncommon,7.28,2025-01-17
Ciphermaniac's Codebreaking (Poke Ball Pattern) | Holofoil,Uncommon,5.21,2025-01-17
Cornerstone Mask Ogerpon ex - 160/131 | Holofoil,Special Illustration Rare,98.0,2025-01-17
Crispin - 105/131 (Poke Ball Pattern) | Holofoil,Uncommon,2.96,2025-01-17
Dipplin (Poke Ball Pattern) | Holofoil,Uncommon,3.99,2025-01-17
Dragapult ex - 165/131 | Holofoil,Special Illustration Rare,89.14,2025-01-17
Drakloak (Master Ball Pattern) | Holofoil,Common,40.0,2025-01-17
Drakloak (Poke Ball Pattern) | Holofoil,Common,16.45,2025-01-17
Drayton | Holofoil,Special Illustration Rare,4.95,2025-01-17
Dreepy (Master Ball Pattern) | Holofoil,Common,17.98,2025-01-17
Dreepy (Poke Ball Pattern) | Holofoil,Common,15.5,2025-01-17
Duraludon (Master Ball Pattern) | Holofoil,Common,18.99,2025-01-17
Duraludon (Poke Ball Pattern) | Holofoil,Common,5.49,2025-01-17
Dusclops (Poke Ball Pattern) | Holofoil,Common,3.99,2025-01-17
Dusknoir (Poke Ball Pattern) | Holofoil,Rare,3.99,2025-01-17
Duskull (Poke Ball Pattern) | Holofoil,Common,3.99,2025-01-17
Eevee (Poke Ball Pattern) | Holofoil,Common,31.75,2025-01-17
Eevee ex - 075/131 | Holofoil,Double Rare,9.4,2025-01-17
Eevee ex - 167/131 | Holofoil,Special Illustration Rare,116.25,2025-01-17
Eri | Holofoil,Ultra Rare,6.5,2025-01-17
Espeon (Poke Ball Pattern) | Holofoil,Rare,18.77,2025-01-17
Espeon ex - 034/131 | Holofoil,Double Rare,12.34,2025-01-17
Exeggcute (Master Ball Pattern) | Holofoil,Common,14.5,2025-01-17
Exeggcute (Poke Ball Pattern) | Holofoil,Common,5.0,2025-01-17
Exeggutor (Poke Ball Pattern) | Holofoil,Uncommon,2.75,2025-01-17
Fan Rotom (Master Ball Pattern) | Holofoil,Common,21.39,2025-01-17
Flareon (Poke Ball Pattern) | Holofoil,Rare,22.12,2025-01-17
Flareon ex - 014/131 | Holofoil,Double Rare,11.67,2025-01-17
Friends in Paldea - 109/131 (Poke Ball Pattern) | Holofoil,Common,9.99,2025-01-17
Friends in Paldea - 137/131 | Holofoil,Ultra Rare,11.62,2025-01-17
Gholdengo ex | Holofoil,Special Illustration Rare,67.0,2025-01-17
Glaceon (Poke Ball Pattern) | Holofoil,Rare,27.05,2025-01-17
Glaceon ex - 026/131 | Holofoil,Double Rare,8.99,2025-01-17
Goldeen (Poke Ball Pattern) | Holofoil,Common,4.38,2025-01-17
Great Tusk (Master Ball Pattern) | Holofoil,Uncommon,9.99,2025-01-17
Groudon (Poke Ball Pattern) | Holofoil,Rare,10.0,2025-01-17
Hawlucha (Master Ball Pattern) | Holofoil,Uncommon,20.0,2025-01-17
Hawlucha (Poke Ball Pattern) | Holofoil,Uncommon,3.99,2025-01-17
Hearthflame Mask Ogerpon ex - 148/131 | Holofoil,Special Illustration Rare,57.5,2025-01-17
Heatran (Master Ball Pattern) | Holofoil,Uncommon,12.97,2025-01-17
Heatran (Poke Ball Pattern) | Holofoil,Uncommon,3.98,2025-01-17
Hoothoot (Master Ball Pattern) | Holofoil,Common,14.99,2025-01-17
Houndoom (Master Ball Pattern) | Holofoil,Common,25.0,2025-01-17
Houndoom (Poke Ball Pattern) | Holofoil,Common,6.74,2025-01-17
Houndour (Master Ball Pattern) | Holofoil,Common,18.2,2025-01-17
Houndour (Poke Ball Pattern) | Holofoil,Common,3.16,2025-01-17
Hydrapple ex | Holofoil,Double Rare,6.34,2025-01-17
Iron Boulder (Master Ball Pattern) | Holofoil,Rare,25.0,2025-01-17
Iron Boulder (Poke Ball Pattern) | Holofoil,Rare,7.47,2025-01-17
Iron Hands ex - 154/131 | Holofoil,Special Illustration Rare,69.98,2025-01-17
Iron Leaves ex | Holofoil,Hyper Rare,17.04,2025-01-17
Iron Thorns ex | Holofoil,Double Rare,3.67,2025-01-17
Janine's Secret Art - 173/131 | Holofoil,Special Illustration Rare,54.66,2025-01-17
Jolteon (Poke Ball Pattern) | Holofoil,Rare,13.64,2025-01-17
Jolteon ex - 030/131 | Holofoil,Double Rare,8.8,2025-01-17
Kieran - 113/131 (Poke Ball Pattern) | Holofoil,Uncommon,7.6,2025-01-17
Kieran - 174/131 | Holofoil,Special Illustration Rare,53.6,2025-01-17
Lacey - 114/131 (Poke Ball Pattern) | Holofoil,Uncommon,13.49,2025-01-17
Lacey - 175/131 | Holofoil,Special Illustration Rare,99.99,2025-01-17
Larry's Skill - 139/131 | Holofoil,Ultra Rare,6.16,2025-01-17
Larvitar (Master Ball Pattern) | Holofoil,Common,24.67,2025-01-17
Leafeon (Poke Ball Pattern) | Holofoil,Rare,36.44,2025-01-17
Leafeon ex - 006/131 | Holofoil,Double Rare,11.34,2025-01-17
Leafeon ex - 144/131 | Holofoil,Special Illustration Rare,489.0,2025-01-17
Litleo (Poke Ball Pattern) | Holofoil,Common,3.5,2025-01-17
Lucario ex | Holofoil,Double Rare,6.52,2025-01-17
Lugia ex | Holofoil,Double Rare,6.59,2025-01-17
Max Rod | Holofoil,ACE SPEC Rare,4.15,2025-01-17
Maximum Belt | Holofoil,ACE SPEC Rare,2.74,2025-01-17
Mela | Holofoil,Ultra Rare,11.16,2025-01-17
Okidogi (Master Ball Pattern) | Holofoil,Rare,17.99,2025-01-17
Okidogi (Poke Ball Pattern) | Holofoil,Rare,2.95,2025-01-17
Ortega | Holofoil,Ultra Rare,7.04,2025-01-17
Palafin ex | Holofoil,Special Illustration Rare,61.66,2025-01-17
Pikachu ex - 028/131 | Holofoil,Double Rare,11.36,2025-01-17
Pikachu ex - 179/131 | Holofoil,Hyper Rare,325.0,2025-01-17
Pinsir (Master Ball Pattern) | Holofoil,Common,25.0,2025-01-17
Pinsir (Poke Ball Pattern) | Holofoil,Common,4.0,2025-01-17
Prime Catcher | Holofoil,ACE SPEC Rare,4.09,2025-01-17
Professor Sada's Vitality (Poke Ball Pattern) | Holofoil,Uncommon,4.04,2025-01-17
Professor's Research [Professor Oak] (Poke Ball Pattern) | Holofoil,Common,6.84,2025-01-17
Pupitar (Master Ball Pattern) | Holofoil,Common,14.0,2025-01-17
Pupitar (Poke Ball Pattern) | Holofoil,Common,5.0,2025-01-17
Pyroar (Master Ball Pattern) | Holofoil,Uncommon,5.16,2025-01-17
Pyroar (Poke Ball Pattern) | Holofoil,Uncommon,3.2,2025-01-17
