Generation Set No.,Name,Release date,Details
1,Black & White,"April 6, 2011","It is the first Pokémon trading card game set based on the Pokémon games,Pokémon BlackandWhite. The set has a total of 114 cards plus one bonus pikachu, introducing 69 new Pokémon to the TCG, including special full card art versions of Reshiram and Zekrom as well as a hidden rare foil Pikachu. Starting in this set, all non-Pokémon, non-energy cards now have the ""Trainer"" designation. Trainers are now divided into Item (representing old trainer cards), Supporter, and Stadium (though there were no Stadium in this set). The set features ""Blue Assault"" (Samurott), ""Green Tornado"" (Serperior), and ""Red Frenzy"" (Emboar) starter decks."
2,Black & White–Emerging Powers,"August 31, 2011[36]","The set has a total of 98 cards, introducing 31 new Pokémon to the TCG, including special full card art versions of Thundurus and Tornadus. This set features the highly anticipated ""Pokémon Catcher"" Item card. The first Item card since Gust of Wind that lets a player switch their opponent's active Pokémon, without the opponent choosing the new active. The set features ""Toxic Tricks"" (Scolipede) and ""Power Play"" (Krookodile) starter decks."
3,Black & White–Noble Victories,"November 16, 2011[37]","This set introduces the final Pokémon from the 5th generation to the card game, aside from the event-exclusive Pokémon; Keldeo, Meloetta, and Genesect. It features the Victory Pokémon Victini, as well as introduces the new Fossil Pokémon, Tirtouga, and Archen. Full art cards in this set include Victini, Cobalion, Terrakion, Virizion, and the first full art Trainer card, N. The set also includes a hidden rare Meowth. The starter decks feature ""Fast Daze"" (Accelgor) and ""Furious Knights"" (Escavalier)."
4,Black & White–Next Destinies,"February 8, 2012[38]","Pokémon from the previous generations were reintroduced and a new type of card, the Pokémon-EX card was introduced (with Shaymin-EX, Reshiram-EX, Kyurem-EX, Zekrom-EX, Mewtwo-EX, and Regigigas-EX). Also included are 4 Secret Rare cards, depicting cards from previous sets, but were reprinted as ""shiny""; Emboar (Black & White), Chandelure (Noble Victories), Zoroark (Black & White), and Hydreigon (Noble Victories). The starter decks for this set are ""Explosive Edge"" (Reshiram) and ""Voltage Vortex"" (Zekrom)."
5,Black & White–Dark Explorers,"May 9, 2012[39]","This is the second set to reintroduce Pokémon from the previous generations and Pokémon-EX cards (which are Entei-EX, Raikou-EX, Tornadus-EX, Darkrai-EX, Groudon-EX, Kyogre-EX) to the card game. There are again, 3 Secret Rare cards (""shiny"") that were reprinted from earlier sets: Archeops (Noble Victories), Gardevoir (Next Destinies), and a golden Pokémon Catcher (Emerging Powers). The starter decks for this set are ""Raiders"" (Cofagrigus) and ""Shadows"" (Zoroark)."
6,Black & White–Dragons Exalted,"August 15, 2012[40]","This set introduces the Dragon Pokémon type to the Trading Card Game and is the third set to reintroduce Pokémon from the previous generations. The Pokémon-EX cards in this set are Terrakion-EX, Mew-EX, Ho-Oh-EX, Registeel-EX, and the brand new Dragon type EXs: Rayquaza-EX, and Giratina-EX. Also in this set are 4 Secret Rare cards (""shiny"") which were reprinted from earlier sets: Reuniclus (Black and White), Serperior (Black and White), Krookodile (Black and White), and Rayquaza (which was exclusive to the English sets). The starter theme decks are ""DragonSnarl"" (Hydreigon) and ""DragonSpeed"" (Garchomp)."
6.5,Dragon Vault,"October 12, 2012","A small set released midway into the Black and White era. There are no new EX cards in this set, instead containing only holo cards. Packs could only be purchased from promotional products, and no booster boxes were made of Dragon Vault. Additionally, Dragon Vault packs only contained 5 cards each, all holo, due to the small set size; 20 regular cards and 1 secret rare."
7,Black & White–Boundaries Crossed,November 2012,"It is the first Pokémon trading card game set based on the gamesPokémon Black 2andWhite 2, and the eighth overall of theBlackandWhiteseries. This set officially introduces the Pokémon; both Black and White Kyurem, Landorus in its Therian form, Meloetta, and Keldeo, and continues the trend of reintroducing Pokémon from the previous generations. The Pokémon-EX cards in this set are Celebi-EX, Keldeo-EX (in Resolute form), Cresselia-EX, Landorus-EX (in Therian form), Black Kyurem-EX, and White Kyurem-EX. A new special holofoil Item card, known as ACE SPEC cards, was also introduced starting from this set (4 of them in this set). Only 1 ACE SPEC card can be in a deck. Again, 4 Secret Rare cards (""shiny""), reprinted from earlier sets, were included in this set: Golurk (Dragons Exalted), Terrakion (Noble Victories), Altaria (Dragons Exalted), and a golden Rocky Helmet (Noble Victories), and finally, we have 3 new full-art supporters; Bianca (reprinted from Emerging Powers), Cheren (reprinted from Emerging Powers and/or Dark Explorers), and Skyla. The theme decks are ""IceShock"" (Black Kyurem) and ""ColdFire"" (White Kyurem)."
8,Black & White–Plasma Storm,February 2013,"This set continues reintroducing Pokémon from the previous generations. The Pokémon-EX cards in this set are Moltres-EX, Victini-EX, Articuno-EX, Zapdos-EX, Cobalion-EX, and Lugia-EX. The ACE SPEC cards returned in this set. This set focuses on Team Plasma, a villainous team that is based in the Unova Region."
9,Black & White–Plasma Freeze,May 2013,"It is the tenth English, and eighth Japanese, expansion from theBlack & Whiteseries, and is the second Team Plasma Set. It features Thundurus-EX, Tornadus-EX, and Deoxys-EX. A new Ace-Spec was added (rock guard). The Black and White Plasma Freeze has more than 110 cards."
